bathrooms,bedrooms,link,listing_type,location,price,purpose,size_sqm,title,source,price_per_sqm,beds_bin
5.0,5,https://www.bayut.om/en/property/details-500024656.html,Villa,"Al Buraimi, Al Buraimi",1200.0,For Sale,1500.0,5 Bedrooms Villa for Sale in Oman,bayut,0.8,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-500024649.html,Apartment,"Mahut, Al Wusta",1200.0,For Sale,1000.0,3 Bedrooms Apartment For Sale Mahut Al Wusta,bayut,1.2,"(2, 3]"
5.0,5,https://www.bayut.om/en/property/details-500024648.html,Villa,"Qantab, Muscat",1500.0,For Sale,1500.0,5 Bedrooms Villa For Sale in Omani City,bayut,1.0,"(4, 6]"
5.0,5,https://www.bayut.om/en/property/details-500024621.html,Villa,"Al Sifah, Muscat",1500.0,For Sale,1000.0,5 Bedrooms Villa For Sale in Al Sifah Muscat,bayut,1.5,"(4, 6]"
4.0,4,https://www.bayut.om/en/property/details-500024573.html,Villa,"Hamra, Al Dakhiliya",1000.0,For Sale,1000.0,4 Bedrooms Villa For Sale in Hamra Al Dakhiliya,bayut,1.0,"(3, 4]"
3.0,3,https://www.bayut.om/en/property/details-500024653.html,Apartment,"Al Sinainah, Al Buraimi",120000.0,For Sale,110.0,3 Bedrooms Apartment For Sale in Oman,bayut,1090.909090909091,"(2, 3]"
2.0,2,https://www.bayut.om/en/property/details-500024652.html,Apartment,"Al Duqum, Al Wusta",100000.0,For Sale,100.0,2 Bedrooms Apartment For Sale in Oman,bayut,1000.0,"(1, 2]"
3.0,3,https://www.bayut.om/en/property/details-500024624.html,Apartment,"Al Duqum, Al Wusta",220000.0,For Sale,100.0,3 Bedrooms Apartment For Sale in Oman,bayut,2200.0,"(2, 3]"
2.0,2,https://www.bayut.om/en/property/details-500024628.html,Apartment,"Taqah, Dhofar",220000.0,For Sale,112.0,2 Bedrooms Apartment For Sale in Oman,bayut,1964.2857142857142,"(1, 2]"
2.0,2,https://www.bayut.om/en/property/details-500024627.html,Apartment,"Muqshin, Dhofar",22000.0,For Sale,112.0,2 Bedrooms Apartment For Sale in Oman,bayut,196.42857142857142,"(1, 2]"
3.0,3,https://www.bayut.om/en/property/details-500024622.html,Villa,"Bahla, Al Dakhiliya",2000.0,For Sale,1000.0,3 Bedrooms Villas For Sale in Oman,bayut,2.0,"(2, 3]"
4.0,3,https://www.bayut.om/en/property/details-130322503.html,Villa,"Muscat Hills, Muscat",390000.0,For Sale,471.0,3 Bedrooms Villa For Sale in Muscat Hills Muscat,bayut,828.0254777070064,"(2, 3]"
3.0,2,https://www.bayut.om/en/property/details-130329918.html,Apartment,"Muscat Hills, Muscat",81000.0,For Sale,132.0,2 Bedrooms Apartment For Sale in Muscat Hills Muscat,bayut,613.6363636363636,"(1, 2]"
4.0,3,https://www.bayut.om/en/property/details-130323776.html,Villa,"Barka, Al Batinah",49000.0,For Sale,345.0,3 Bedroom Villa For Sale in Barka Al Batinah,bayut,142.02898550724638,"(2, 3]"
7.0,5,https://www.bayut.om/en/property/details-130288092.html,Villa,"The Wave (Almouj), Muscat",380000.0,For Sale,502.0,5 Bedroom Villa For Sale in The Wave Almouj Muscat,bayut,756.9721115537849,"(4, 6]"
4.0,4,https://www.bayut.om/en/property/details-130288051.html,Villa,"The Wave (Almouj), Muscat",309000.0,For Sale,420.0,4 Bedroom Villa For Sale in The Wave Almouj Muscat,bayut,735.7142857142857,"(3, 4]"
7.0,6,https://www.bayut.om/en/property/details-130288045.html,Villa,"Al Amarat, Muscat",79999.0,For Sale,650.0,6 Bedroom Villa For Sale in Al Amarat Muscat,bayut,123.07538461538462,"(4, 6]"
3.0,3,https://www.bayut.om/en/property/details-130287829.html,Apartment,"Al Ghubrah, Muscat",85000.0,For Sale,160.0,3 Bedrooms Apartment For Sale Al Ghubrah Muscat,bayut,531.25,"(2, 3]"
