bathrooms,bedrooms,furnishing,link,listing_id,listing_type,location,price,property_type,purpose,size_sqm,title
5 Baths,,Furnished,https://www.bayut.om/en/property/details-500024656.html,500024656,Villa,,"1,200",Villa,For Sale,,
3 Baths,,Furnished,https://www.bayut.om/en/property/details-500024649.html,500024649,Apartment,,"1,200",Apartment,For Sale,,
5 Baths,,Furnished,https://www.bayut.om/en/property/details-500024648.html,500024648,Villa,,"1,500",Villa,For Sale,,
5 Baths,,Furnished,https://www.bayut.om/en/property/details-500024621.html,500024621,Villa,,"1,500",Villa,For Sale,,
4 Baths,,Furnished,https://www.bayut.om/en/property/details-500024573.html,500024573,Villa,,"1,000",Villa,For Sale,,
3 Baths,,Furnished,https://www.bayut.om/en/property/details-500024653.html,500024653,Apartment,,"120,000",Apartment,For Sale,,
2 Baths,,Furnished,https://www.bayut.om/en/property/details-500024652.html,500024652,Apartment,,"100,000",Apartment,For Sale,,
3 Baths,,Furnished,https://www.bayut.om/en/property/details-500024624.html,500024624,Apartment,,"220,000",Apartment,For Sale,,
2 Baths,,Furnished,https://www.bayut.om/en/property/details-500024628.html,500024628,Apartment,,"220,000",Apartment,For Sale,,
2 Baths,,Furnished,https://www.bayut.om/en/property/details-500024627.html,500024627,Apartment,,"22,000",Apartment,For Sale,,
3 Baths,,Furnished,https://www.bayut.om/en/property/details-500024622.html,500024622,Villa,,"2,000",Villa,For Sale,,
4 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130322503.html,130322503,Villa,,"390,000",Villa,For Sale,,
3 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130329918.html,130329918,Apartment,,"81,000",Apartment,For Sale,,
4 Baths,,Furnished,https://www.bayut.om/en/property/details-130323776.html,130323776,Villa,,"49,000",Villa,For Sale,,
7 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130288092.html,130288092,Villa,,"380,000",Villa,For Sale,,
4 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130288051.html,130288051,Villa,,"309,000",Villa,For Sale,,
7 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130288045.html,130288045,Villa,,"79,999",Villa,For Sale,,
3 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130287829.html,130287829,Apartment,,"85,000",Apartment,For Sale,,
5 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130285481.html,130285481,Villa,,"295,000",Villa,For Sale,,
6 Baths,,Unfurnished,https://www.bayut.om/en/property/details-130285475.html,130285475,Villa,,"74,000",Villa,For Sale,,
