title,location,price,currency,size_sqm,bedrooms,bathrooms,property_type,listing_type,furnished,amenities,description,agent_name,posted_date,reference_number,link,scraped_timestamp,page_number,price_numeric
5 Bedrooms Villa for Sale in Oman,"Al Buraimi, Al Buraimi","1,200",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024656.html,2025-07-25T18:07:27.156176,1,1200
"3 Bedrooms Apartment For Sale Mahut, Al Wusta","Mahut, Al Wusta","1,200",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024649.html,2025-07-25T18:07:27.156541,1,1200
5 Bedrooms Villa For Sale in Omani City,"Qantab, Muscat","1,500",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024648.html,2025-07-25T18:07:27.156744,1,1500
"5 Bedrooms Villa For Sale in Al Sifah, Muscat","Al Sifah, Muscat","1,500",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024621.html,2025-07-25T18:07:27.156928,1,1500
"4 Bedrooms Villa For Sale in Hamra, Al Dakhiliya","Hamra, Al Dakhiliya","1,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024573.html,2025-07-25T18:07:27.157104,1,1000
3 Bedrooms Apartment For Sale in Oman,"Al Sinainah, Al Buraimi","120,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024653.html,2025-07-25T18:07:27.157278,1,120000
2 Bedrooms Apartment For Sale in Oman,"Al Duqum, Al Wusta","100,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024652.html,2025-07-25T18:07:27.157452,1,100000
3 Bedrooms Apartment For Sale in Oman,"Al Duqum, Al Wusta","220,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024624.html,2025-07-25T18:07:27.157628,1,220000
2 Bedrooms Apartment For Sale in Oman,"Taqah, Dhofar","220,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024628.html,2025-07-25T18:07:27.157806,1,220000
2 Bedrooms Apartment For Sale in Oman,"Muqshin, Dhofar","22,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024627.html,2025-07-25T18:07:27.157984,1,22000
3 Bedrooms Villas For Sale in Oman,"Bahla, Al Dakhiliya","2,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-500024622.html,2025-07-25T18:07:27.158222,1,2000
"3 Bedrooms Villa For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","390,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130322503.html,2025-07-25T18:07:27.158422,1,390000
"2 Bedrooms Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","81,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130329918.html,2025-07-25T18:07:27.158977,1,81000
"3 Bedroom Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","49,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130323776.html,2025-07-25T18:07:27.159337,1,49000
"5 Bedroom Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","380,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130288092.html,2025-07-25T18:07:27.159579,1,380000
"4 Bedroom Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","309,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130288051.html,2025-07-25T18:07:27.159772,1,309000
"6 Bedroom Villa For Sale in Al Amarat, Muscat","Al Amarat, Muscat","79,999",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130288045.html,2025-07-25T18:07:27.159958,1,79999
"3 Bedrooms Apartment For Sale Al Ghubrah, Muscat","Al Ghubrah, Muscat","85,000",OMR,,,,Apartment,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130287829.html,2025-07-25T18:07:27.160147,1,85000
"5 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","295,000",OMR,,,,Villa,For Sale,,[],,,,,https://www.bayut.om/en/property/details-130285481.html,2025-07-25T18:07:27.160332,1,295000
