added_on,bathrooms,bedrooms,completion,furnishing,link,listing_id,listing_type,location,price,property_type,purpose,size_sqm,title
,2,2,,,https://www.dubizzle.com.om/en/ad/marvelous-marina-view-3070-payment-plan-the-sustainable-city-yiti-ID130270402.html,ID130270402.html,For Sale,"Yiti, Muscat","OMR 84,620",,Sale,93 SQM,Marvelous Marina View | 30/70 Payment Plan | The Sustainable City Yiti
,3,2,,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%88%D8%A8%D8%AC%D9%88%D8%AF%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D9%81%D8%B1%D8%B5%D8%A9-%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A7%D9%88-%D8%A7%D9%84%D8%B3%D9%83%D9%86-ID130488968.html,ID130488968.html,For Sale,"Ghala, Muscat","OMR 46,000",,Sale,95 SQM,شقة للبيع بمواصفات مميزة وبجودة ممتازة فرصة رائعة للاستثمار او السكن
,2,2,,,https://www.dubizzle.com.om/en/ad/1-bhk-apartment-for-sale-in-muscat-yiti-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%B3%D9%82%D8%B7-freehold-ID130488715.html,ID130488715.html,For Sale,"Yiti, Muscat","OMR 87,000",,Sale,93 SQM,1 BHK Apartment for Sale in Muscat - Yiti – شقة للبيع في مسقط FreeHold
,3,3,,,https://www.dubizzle.com.om/en/ad/furnished-3-bedroom-lakefront-villa-for-sale-in-hawana-salalah-ID130367511.html,ID130367511.html,For Sale,"Salalah, Dhofar","OMR 244,000",,Sale,610 SQM,Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah
,2,1,,,https://www.dubizzle.com.om/en/ad/luxury-apartmentmouj-muscat-freehold-ownershippermanent-residency-ID130258418.html,ID130258418.html,For Sale,"The Wave (Almouj), Muscat","OMR 125,000",,Sale,111 SQM,Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency
,1,1,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%85%D8%AA%D9%84%D9%83-%D8%B4%D9%82%D8%AA%D9%83-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-%D8%A7%D9%84%D8%A2%D9%86-%D9%88%D8%A7%D8%AF%D9%81%D8%B9-%D8%B9%D9%84%D9%89-5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-ID130494305.html,ID130494305.html,For Sale,"Sultan Haitham City, Muscat","OMR 54,395",,Sale,67 SQM,امتلك شقتك في مدينة السلطان هيثم الآن وادفع على 5 سنوات
,5,4,,,https://www.dubizzle.com.om/en/ad/high-value-investment-sea-view-2br-at-st-regis-ID130279256.html,ID130279256.html,For Sale,"The Wave (Almouj), Muscat","OMR 450,000",,Sale,325 SQM,High-Value Investment – Sea-View 2BR at St. Regis
,1,1,,,https://www.dubizzle.com.om/en/ad/free-hold-1br-apartment-in-jebel-sifah-solaris-w-payment-plan-ID130202120.html,ID130202120.html,For Sale,"Al Sifah, Muscat","OMR 72,000",,Sale,63.6 SQM,"Free Hold!! 1BR Apartment in Jebel Sifah, Solaris - W/ Payment Plan"
,2,1,,,https://www.dubizzle.com.om/en/ad/aws0012bhk-apartement-for-sales-in-the-wave-ID130239450.html,ID130239450.html,For Sale,"The Wave (Almouj), Muscat","OMR 160,000",,Sale,111 SQM,AWS001**2BHK Apartement for sales in the wave
,2,2,,,https://www.dubizzle.com.om/en/ad/mountains-and-wadi-views-high-floor-balcony-3070-payment-plan-ID130270173.html,ID130270173.html,For Sale,"Yiti, Muscat","OMR 76,550",,Sale,93 SQM,Mountains and Wadi Views | High Floor | Balcony | 30/70 Payment Plan
,2,2,,,https://www.dubizzle.com.om/en/ad/pool-view-private-garden-terrace-flexible-3070-payment-plan-ID130270097.html,ID130270097.html,For Sale,"Yiti, Muscat","OMR 78,900",,Sale,93 SQM,Pool View | Private Garden Terrace | Flexible 30/70 Payment Plan
,2,2,,,https://www.dubizzle.com.om/en/ad/luxury-2br-corner-apartment-with-sea-marina-views-juman-2-al-mouj-ID130491086.html,ID130491086.html,For Sale,"The Wave (Almouj), Muscat","OMR 210,000",,Sale,157.3 SQM,"Luxury 2BR Corner Apartment with Sea & Marina Views – Juman 2, Al Mouj"
,3,2,,,https://www.dubizzle.com.om/en/ad/luxury-layout-2-balconies-2080-payment-plan-wadi-zaha-ID130182437.html,ID130182437.html,For Sale,"Al Seeb, Muscat","OMR 87,348",,Sale,110 SQM,Luxury Layout | 2 Balconies | 20/80 Payment Plan | Wadi Zaha
,2,1,,,https://www.dubizzle.com.om/en/ad/spacious-ground-floor-apartment-for-sale-marsa-3-al-mouj-muscat-ID130490299.html,ID130490299.html,For Sale,"The Wave (Almouj), Muscat","OMR 135,000",,Sale,111 SQM,"Spacious Ground Floor Apartment for Sale – Marsa 3, Al Mouj Muscat"
,2,1,,,https://www.dubizzle.com.om/en/ad/modern-2-bedroom-apartment-for-sale-in-al-mouj-al-murooj-omr-165k-ID130490263.html,ID130490263.html,For Sale,"The Wave (Almouj), Muscat","OMR 165,000",,Sale,111 SQM,Modern 2-Bedroom Apartment for Sale in Al Mouj – Al Murooj | OMR 165k
,9,9,,,https://www.dubizzle.com.om/en/ad/modern-townhouse-for-sale-al-mouj-luban-omr-205000-ID130490152.html,ID130490152.html,For Sale,"The Wave (Almouj), Muscat","OMR 205,000",,Sale,603 SQM,"Modern Townhouse for Sale – Al Mouj Luban | OMR 205,000"
,3,3,,,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,ID130367595.html,For Sale,"Salalah, Dhofar","OMR 249,000",,Sale,573 SQM,Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah
,5,5,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,ID130058008.html,For Sale,"The Wave (Almouj), Muscat","OMR 573,300",,Sale,545 SQM,ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین
,2,2,,,https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,ID130488500.html,For Sale,"The Wave (Almouj), Muscat","OMR 215,000",,Sale,157.3 SQM,"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat"
,9,9,,,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,ID130473813.html,For Sale,"Al Khoud, Muscat","OMR 150,000",,Sale,603 SQM,3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool
,1,1,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%85%D8%AA%D9%84%D9%83-%D8%B4%D9%82%D8%AA%D9%83-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-%D8%A7%D9%84%D8%A2%D9%86-%D9%88%D8%A7%D8%AF%D9%81%D8%B9-%D8%B9%D9%84%D9%89-5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-ID130494305.html,ID130494305.html,For Sale,"Sultan Haitham City, Muscat","OMR 54,395",,Sale,67 SQM,امتلك شقتك في مدينة السلطان هيثم الآن وادفع على 5 سنوات
,5,4,,,https://www.dubizzle.com.om/en/ad/high-value-investment-sea-view-2br-at-st-regis-ID130279256.html,ID130279256.html,For Sale,"The Wave (Almouj), Muscat","OMR 450,000",,Sale,325 SQM,High-Value Investment – Sea-View 2BR at St. Regis
,1,1,,,https://www.dubizzle.com.om/en/ad/free-hold-1br-apartment-in-jebel-sifah-solaris-w-payment-plan-ID130202120.html,ID130202120.html,For Sale,"Al Sifah, Muscat","OMR 72,000",,Sale,63.6 SQM,"Free Hold!! 1BR Apartment in Jebel Sifah, Solaris - W/ Payment Plan"
,2,1,,,https://www.dubizzle.com.om/en/ad/aws0012bhk-apartement-for-sales-in-the-wave-ID130239450.html,ID130239450.html,For Sale,"The Wave (Almouj), Muscat","OMR 160,000",,Sale,111 SQM,AWS001**2BHK Apartement for sales in the wave
,2,2,,,https://www.dubizzle.com.om/en/ad/mountains-and-wadi-views-high-floor-balcony-3070-payment-plan-ID130270173.html,ID130270173.html,For Sale,"Yiti, Muscat","OMR 76,550",,Sale,93 SQM,Mountains and Wadi Views | High Floor | Balcony | 30/70 Payment Plan
,2,2,,,https://www.dubizzle.com.om/en/ad/pool-view-private-garden-terrace-flexible-3070-payment-plan-ID130270097.html,ID130270097.html,For Sale,"Yiti, Muscat","OMR 78,900",,Sale,93 SQM,Pool View | Private Garden Terrace | Flexible 30/70 Payment Plan
,2,2,,,https://www.dubizzle.com.om/en/ad/luxury-2br-corner-apartment-with-sea-marina-views-juman-2-al-mouj-ID130491086.html,ID130491086.html,For Sale,"The Wave (Almouj), Muscat","OMR 210,000",,Sale,157.3 SQM,"Luxury 2BR Corner Apartment with Sea & Marina Views – Juman 2, Al Mouj"
,3,2,,,https://www.dubizzle.com.om/en/ad/luxury-layout-2-balconies-2080-payment-plan-wadi-zaha-ID130182437.html,ID130182437.html,For Sale,"Al Seeb, Muscat","OMR 87,348",,Sale,110 SQM,Luxury Layout | 2 Balconies | 20/80 Payment Plan | Wadi Zaha
,2,1,,,https://www.dubizzle.com.om/en/ad/spacious-ground-floor-apartment-for-sale-marsa-3-al-mouj-muscat-ID130490299.html,ID130490299.html,For Sale,"The Wave (Almouj), Muscat","OMR 135,000",,Sale,111 SQM,"Spacious Ground Floor Apartment for Sale – Marsa 3, Al Mouj Muscat"
,2,1,,,https://www.dubizzle.com.om/en/ad/modern-2-bedroom-apartment-for-sale-in-al-mouj-al-murooj-omr-165k-ID130490263.html,ID130490263.html,For Sale,"The Wave (Almouj), Muscat","OMR 165,000",,Sale,111 SQM,Modern 2-Bedroom Apartment for Sale in Al Mouj – Al Murooj | OMR 165k
,9,9,,,https://www.dubizzle.com.om/en/ad/modern-townhouse-for-sale-al-mouj-luban-omr-205000-ID130490152.html,ID130490152.html,For Sale,"The Wave (Almouj), Muscat","OMR 205,000",,Sale,603 SQM,"Modern Townhouse for Sale – Al Mouj Luban | OMR 205,000"
,3,3,,,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,ID130367595.html,For Sale,"Salalah, Dhofar","OMR 249,000",,Sale,573 SQM,Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah
,5,5,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,ID130058008.html,For Sale,"The Wave (Almouj), Muscat","OMR 573,300",,Sale,545 SQM,ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین
,2,2,,,https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,ID130488500.html,For Sale,"The Wave (Almouj), Muscat","OMR 215,000",,Sale,157.3 SQM,"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat"
,9,9,,,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,ID130473813.html,For Sale,"Al Khoud, Muscat","OMR 150,000",,Sale,603 SQM,3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool
,6,6,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,ID127849599.html,For Sale,"Al Maabilah, Muscat","OMR 120,000",,Sale,450 SQM,‎فيلا جديده راقيه للبيع في المعبيلة الثالثة
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,ID129792393.html,For Sale,"Barka, Al Batinah","OMR 350,000",,Sale,,أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,ID129792295.html,For Sale,"Al Buraimi, Al Buraimi","OMR 250,000",,Sale,,أرض للبيع او الاستثمار بناية سكنيه تجارية
